S.NO,NAME,ADDRESS,PAN NUMBER,PHONE NUMBER,AADHAR NUMBER,ACCOUNT NUMBER,PIN NUMBER,ANNUAL INCOME,DATE OF BIRTH,AGE,TAX AMOUNT
1,Aria Lopez,"1. 491, Periyar Street, Madurai - 631027",BGMOR0690E,8304197537,1. 473537064962,ACC3552,1017,1000000    ,12/4/1945,78,200000    
2,Mason Hughes,"2. 321, Anna Nagar, Tirunelveli - 628530",TMYTF0024H,7033841106,2. 880393350152,ACC5716,5565,800000    ,2/26/1946,78,160000    
3,Isabella Bennett,"3. 795, Kamarajar Road, Tiruchirapalli - 604839",WKECS2454I,1321302535,3. 979990871053,ACC4336,7712,500000    ,11/6/1946,77,25000    
4,Ethan Turner,"4. 341, Krishna Puram, Erode - 618040",LLNFC5855O,7928589935,4. 663620835858,ACC6262,3829,1000000    ,11/10/1946,73,200000    
5,Olivia Brooks,"5. 523, Kamarajar Road, Chennai - 631295",NXIKQ9510A,9199822790,5. 929042040854,ACC7353,9884,1200000    ,1/30/1949,73,240000    
6,Liam Foster,"6. 322, Arignar Anna Salai, Erode - 623328",FJUYB8167G,7023251117,6. 487494625815,ACC8710,8638,2300000    ,10/5/1950,72,690000    
7,Ava Jenkins,"7. 197, Gandhi Road, Tirunelveli - 613321",CUKLJ7758N,6975086930,7. 723747009571,ACC8248,9078,3200000    ,12/22/1950,71,1050000    
8,Noah Ward,"8. 596, Periyar Street, Vellore - 604641",QYSFO9182Q,3147865374,8. 440108195369,ACC7100,4170,4200000    ,11/27/1951,71,1260000    
9,Sophia Thompson,"9. 310, Arignar Anna Salai, Erode - 650912",NLJPL6833E,7422637916,9. 481502538796,ACC8003,4954,2500000    ,1/1/1952,71,750000    
10,Jackson Evans,"10. 381, Giri Street, Vellore - 648299",TZIZL6133G,4893848428,10. 200227496496,ACC7276,4462,3200000    ,1/27/1952,70,1050000    
11,Amelia Russell,"11. 657, Krishna Puram, Thoothukudi - 691597",JHEKM3712Z,7509546977,11. 163472546357,ACC2806,4382,5400000    ,3/4/1952,68,1620000    
12,Lucas Diaz,"12. 246, Rajaji Salai, Coimbatore - 692127",FMGEC3978L,9996802290,12. 805047957071,ACC9113,3405,5400000    ,9/16/1954,68,1620000    
13,Harper Perry,"13. 243, Kamarajar Road, Tiruchirapalli - 604335",CHTHV6022M,1654461344,13. 256263820881,ACC7830,4366,1900000    ,11/8/1954,68,570000    
14,Benjamin Coleman,"14. 227, Bharathi Street, Thoothukudi - 699329",KBRDL8405Z,2675737216,14. 624158954069,ACC1848,8786,8300000    ,6/27/1955,67,2490000    
15,Evelyn Bailey,"15. 155, Kamarajar Road, Tirunelveli - 629674",BKWCZ0375P,7897692612,15. 632944013399,ACC8994,3324,4200000    ,11/4/1955,66,1260000    
16,Oliver Harrison,"16. 467, Nehru Nagar, Coimbatore - 684726",LTDHI9381K,7237503803,16. 632077174878,ACC1564,1614,6400000    ,5/7/1956,66,192000    
17,Mia Richardson,"17. 577, Krishna Puram, Vellore - 638861",EOHOE2705X,1944892584,17. 709620672105,ACC2727,2926,5200000    ,6/22/1956,65,1560000    
18,Carter Barnes,"18. 640, Anna Nagar, Vellore - 602046",XMZCJ9123L,6192085889,18. 184162667118,ACC5228,9638,3100000    ,3/9/1957,65,930000    
19,Abigail Murphy,"19. 343, Bharathi Street, Vellore - 633733",HIWUH2211M,7877657118,19. 223642368111,ACC6296,6722,5200000    ,12/15/1957,65,1560000    
20,Logan Fisher,"20. 963, Nehru Nagar, Coimbatore - 698450",WUMKS2672I,3698648019,20. 103033422960,ACC3962,3881,7100000    ,5/12/1958,64,2130000    
21,Scarlett Hayes,"21. 568, Periyar Street, Vellore - 650794",ESHYV5522O,6528979689,21. 464324832368,ACC5677,9799,8300000    ,8/25/1958,63,2490000    
22,Samuel Price,"22. 121, Giri Street, Thoothukudi - 676578",YMXLD5222K,6413571188,22. 880555770495,ACC1491,8019,5200000    ,6/13/1960,62,1560000    
23,Lily Anderson,"23. 748, Nehru Nagar, Chennai - 688185",KFXIN7995O,6001192832,23. 584858960511,ACC8602,5647,3200000    ,8/23/1961,62,1050000    
24,Manoj kumar,"24. 119, Bharathi Street, Tiruchirapalli - 650647",ZRIHX0698U,9865378982,24. 637034632322,ACC1363,8821,7500000    ,3/27/1962,60,2250000    
25,Chloe Wallace,"25. 824, Arignar Anna Salai, Vellore - 616799",WATBL8972I,6128803927,25. 971919520391,ACC3319,1099,1000000    ,9/23/1962,59,200000    
26,Alexander Powell,"26. 951, Anna Nagar, Salem - 662116",PQKDY8554W,8337659928,26. 414210345607,ACC3157,5015,1000000    ,5/16/1963,59,160000    
27,Grace Long,"27. 837, Nehru Nagar, Vellore - 690519",ZKENV4011F,1467774733,27. 231279467655,ACC1986,9705,500000    ,7/14/1963,55,25000    
28,Henry Taylor,"28. 129, Periyar Street, Tiruppur - 678235",NBFOI2862D,7101657304,28. 902009848970,ACC8280,3496,1000000    ,12/18/1965,53,200000    
29,Ellie Cooper,"29. 320, Gandhi Road, Madurai - 661961",FOVCL2903Y,3716407932,29. 862298904725,ACC4395,8198,1200000    ,3/13/1966,53,240000    
30,Sebastian Wright,"30. 416, Periyar Street, Vellore - 669427",TYIGA2322I,6912962139,30. 579792965275,ACC3366,5894,2300000    ,9/6/1966,52,690000    
31,Zoey Morris,"31. 270, Bharathi Street, Tiruchirapalli - 650257",LLTIF4693K,4679676635,31. 240358043301,ACC2131,1352,3200000    ,4/2/1968,52,1050000    
32,Caleb Hall,"32. 460, Anna Nagar, Tiruchirapalli - 604597",ZRMKQ6299P,3242419348,32. 985912315049,ACC6354,4068,4200000    ,4/19/1970,51,1260000    
33,Emma Wood,"33. 479, Rajaji Salai, Vellore - 609070",JTYPC5687P,5293258359,33. 148497330350,ACC1799,8652,2500000    ,4/20/1970,51,750000    
34,Wyatt Foster,"34. 421, Giri Street, Vellore - 671073",XEKWZ8707U,3451594946,34. 515744870066,ACC6109,5079,3200000    ,3/17/1972,51,1050000    
35,Penelope Clark,"35. 900, Periyar Street, Salem - 634077",SLARR6190J,9812123504,35. 237553560257,ACC7565,2964,5400000    ,9/2/1972,51,1620000    
367,Gabriel Mitchell,"36. 698, Periyar Street, Tiruchirapalli - 653503",RNXHO6719E,2664796820,36. 838153801930,ACC4307,5362,5400000    ,9/9/1972,49,1620000    
37,Addison Turner,"37. 199, Periyar Street, Thoothukudi - 647759",SFWQK4465M,5322875563,37. 486812543182,ACC5552,9440,1900000    ,9/30/1973,49,570000    
38,Julian Morgan,"38. 458, Gandhi Road, Tirunelveli - 657688",UARZS8364M,7755863705,38. 126251247824,ACC2381,8420,8300000    ,7/15/1974,49,2490000    
39,Natalie Butler,"39. 923, Gandhi Road, Erode - 614809",VWAPP9009D,9351709727,39. 629180550358,ACC7304,2481,4200000    ,6/27/1975,49,1260000    
40,Leo Martinez,"40. 691, Kamarajar Road, Madurai - 674200",TAIJA3159C,7026674770,40. 411974342871,ACC5770,6847,6400000    ,10/16/1976,48,192000    
41,Stella Simmons,"41. 84, Arignar Anna Salai, Salem - 670804",UIOHY4498I,1625126559,41. 556954785496,ACC8886,7414,5200000    ,7/13/1981,48,1560000    
42,Owen Bennett,"42. 634, Nehru Nagar, Vellore - 658044",JNPLB4515G,3741674456,42. 826187692768,ACC1307,5045,3100000    ,11/29/1981,47,930000    
43,Layla Martinez,"43. 987, Rajaji Salai, Thoothukudi - 637116",ABDXW7804R,6051931771,43. 153083687655,ACC7042,9861,5200000    ,10/28/1982,46,1560000    
44,Elijah Reed,"44. 578, Kamarajar Road, Tiruppur - 664984",HVYQH4987C,7542141409,44. 140409694443,ACC7674,7533,7100000    ,5/26/1984,45,2130000    
45,Riley Collins,"45. 397, Rajaji Salai, Vellore - 662880",OOUTU9793L,3233389279,45. 218719062765,ACC9407,3845,8300000    ,7/1/1984,43,2490000    
46,Aubrey Ramirez,"46. 357, Periyar Street, Madurai - 625869",DGMWF8072W,6809976155,46. 141570599666,ACC9717,2645,5200000    ,2/8/1985,43,1560000    
47,Connor Parker,"47. 600, Krishna Puram, Chennai - 638272",IJJVO2915C,6263435562,47. 431140905729,ACC7249,9255,3200000    ,9/18/1985,43,1050000    
48,Savannah Ward,"48. 997, Periyar Street, Erode - 638528",EEDZQ1659S,8593815012,48. 731932672769,ACC4359,5813,7500000    ,4/9/1986,42,2250000    
49,Suriya,"49. 607, Giri Street, Vellore - 612651",PHSIZ0566E,8754002939,49. 920212180752,ACC7411,6123,1000000    ,7/21/1986,42,200000    
50,Madelyn Rivera,"50. 67, Giri Street, Chennai - 682293",QHRET6318S,2233534681,50. 646198138640,ACC6037,9288,1000000    ,6/22/1988,41,200000    
51,Isaac Hughes,"51. 296, Periyar Street, Coimbatore - 691706",YJUZG8736S,8779253615,51. 494497480980,ACC8268,2383,500000    ,8/4/1989,40,160000    
52,Peyton Perry,"52. 346, Giri Street, Tiruppur - 606998",XJOSM0454Q,2274872291,52. 913051856666,ACC5829,2684,1000000    ,6/13/1990,39,200000    
53,Clara Simmons,"53. 341, Periyar Street, Tiruchirapalli - 622272",KWPHM0642E,6495593296,53. 880921860386,ACC6715,1428,1200000    ,10/10/1990,39,240000    
54,David Powell,"54. 34, Arignar Anna Salai, Salem - 608348",IRUFJ6163E,2463713287,54. 411916321065,ACC3198,5725,2300000    ,2/3/1991,39,690000    
55,Lillian Hayes,"55. 182, Rajaji Salai, Vellore - 642286",WVHDU6021L,1007136310,55. 498119505705,ACC8334,8028,3200000    ,4/1/1992,39,1050000    
56,Christopher Nelson,"56. 690, Bharathi Street, Madurai - 674297",FBDVG8379P,4719996038,56. 314239646507,ACC8405,5346,4200000    ,8/4/1992,39,1260000    
57,Nora Brooks,"57. 676, Gandhi Road, Chennai - 649459",JDRIO2643N,6522358744,57. 611309329194,ACC3003,4259,2500000    ,4/19/1993,36,750000    
